Date,AAPL,GM,GOOG,PYPL,TSLA
2020-09-02,131.39999389648438,30.959999084472656,1728.280029296875,210.82000732421875,447.3699951171875
2020-09-03,120.87999725341797,29.479999542236328,1641.8399658203125,204.99000549316406,407.0
2020-09-04,120.95999908447266,30.0,1591.0400390625,191.83999633789062,418.32000732421875
2020-09-08,112.81999969482422,32.380001068115234,1532.3900146484375,185.9499969482422,330.2099914550781
2020-09-09,117.31999969482422,31.950000762939453,1556.9599609375,194.60000610351562,366.2799987792969
2020-09-10,113.48999786376953,30.170000076293945,1532.02001953125,190.08999633789062,371.3399963378906
2020-09-11,112.0,30.459999084472656,1520.719970703125,184.0,372.7200012207031
2020-09-14,115.36000061035156,31.18000030517578,1519.280029296875,186.9600067138672,419.6199951171875
2020-09-15,115.54000091552734,31.579999923706055,1541.43994140625,186.02000427246094,449.760009765625
2020-09-16,112.12999725341797,31.790000915527344,1520.9000244140625,180.91000366210938,441.760009765625
2020-09-17,110.33999633789062,31.920000076293945,1495.530029296875,175.7899932861328,423.42999267578125
2020-09-18,106.83999633789062,31.5,1459.989990234375,176.07000732421875,442.1499938964844
2020-09-21,110.08000183105469,30.0,1431.1600341796875,183.2100067138672,449.3900146484375
2020-09-22,111.80999755859375,29.440000534057617,1465.4599609375,187.77999877929688,424.2300109863281
2020-09-23,107.12000274658203,29.34000015258789,1415.2099609375,181.61000061035156,380.3599853515625
2020-09-24,108.22000122070312,29.110000610351562,1428.2900390625,182.19000244140625,387.7900085449219
2020-09-25,112.27999877929688,29.0,1444.9599609375,187.25,407.3399963378906
2020-09-28,114.95999908447266,29.440000534057617,1464.52001953125,192.02000427246094,421.20001220703125
2020-09-29,114.08999633789062,28.739999771118164,1469.3299560546875,194.5,419.07000732421875
2020-09-30,115.80999755859375,29.59000015258789,1469.5999755859375,197.02999877929688,429.010009765625
2020-10-01,116.79000091552734,30.3799991607666,1490.0899658203125,196.94000244140625,448.1600036621094
2020-10-02,113.0199966430664,30.459999084472656,1458.4200439453125,191.91000366210938,415.0899963378906
2020-10-05,116.5,30.959999084472656,1486.02001953125,196.85000610351562,425.67999267578125
2020-10-06,113.16000366210938,30.399999618530273,1453.43994140625,191.66000366210938,413.9800109863281
2020-10-07,115.08000183105469,31.6200008392334,1460.2900390625,194.61000061035156,425.29998779296875
2020-10-08,114.97000122070312,32.209999084472656,1485.9300537109375,193.05999755859375,425.9200134277344
2020-10-09,116.97000122070312,32.15999984741211,1515.219970703125,197.27000427246094,434.0
2020-10-12,124.4000015258789,32.209999084472656,1569.1500244140625,201.50999450683594,442.29998779296875
2020-10-13,121.0999984741211,31.8700008392334,1571.6800537109375,207.74000549316406,446.6499938964844
2020-10-14,121.19000244140625,31.670000076293945,1568.0799560546875,203.60000610351562,461.29998779296875
2020-10-15,120.70999908447266,32.59000015258789,1559.1300048828125,203.13999938964844,448.8800048828125
2020-10-16,119.0199966430664,33.45000076293945,1573.010009765625,204.4499969482422,439.6700134277344
2020-10-19,115.9800033569336,33.349998474121094,1534.6099853515625,200.05999755859375,430.8299865722656
2020-10-20,117.51000213623047,35.599998474121094,1555.9300537109375,201.9600067138672,421.94000244140625
2020-10-21,116.87000274658203,35.77000045776367,1593.31005859375,213.07000732421875,422.6400146484375
2020-10-22,115.75,37.40999984741211,1615.3299560546875,203.92999267578125,425.7900085449219
2020-10-23,115.04000091552734,36.83000183105469,1641.0,203.0399932861328,420.6300048828125
2020-10-26,115.05000305175781,35.81999969482422,1590.449951171875,197.22000122070312,420.2799987792969
2020-10-27,116.5999984741211,34.88999938964844,1604.260009765625,200.42999267578125,424.67999267578125
2020-10-28,111.19999694824219,34.09000015258789,1516.6199951171875,192.30999755859375,406.0199890136719
2020-10-29,115.31999969482422,34.88999938964844,1567.239990234375,195.0399932861328,410.8299865722656
2020-10-30,108.86000061035156,34.529998779296875,1621.010009765625,186.1300048828125,388.0400085449219
2020-11-02,108.7699966430664,34.54999923706055,1626.030029296875,187.75999450683594,400.510009765625
2020-11-03,110.44000244140625,35.349998474121094,1650.2099609375,179.80999755859375,423.8999938964844
2020-11-04,114.94999694824219,35.2400016784668,1749.1300048828125,194.2899932861328,420.9800109863281
2020-11-05,119.02999877929688,37.13999938964844,1763.3699951171875,204.55999755859375,438.0899963378906
2020-11-06,118.69000244140625,37.470001220703125,1761.75,202.72999572753906,429.95001220703125
2020-11-09,116.31999969482422,38.959999084472656,1763.0,184.72000122070312,421.260009765625
2020-11-10,115.97000122070312,41.08000183105469,1740.3900146484375,183.36000061035156,410.3599853515625
2020-11-11,119.48999786376953,40.560001373291016,1752.7099609375,192.33999633789062,417.1300048828125
2020-11-12,119.20999908447266,39.31999969482422,1749.8399658203125,189.10000610351562,411.760009765625
2020-11-13,119.26000213623047,41.189998626708984,1777.02001953125,188.6199951171875,408.5
2020-11-16,120.30000305175781,42.130001068115234,1781.3800048828125,191.94000244140625,408.0899963378906
2020-11-17,119.38999938964844,41.97999954223633,1770.1500244140625,192.3000030517578,441.6099853515625
2020-11-18,118.02999877929688,42.720001220703125,1746.780029296875,190.1199951171875,486.6400146484375
2020-11-19,118.63999938964844,42.81999969482422,1763.9200439453125,190.89999389648438,499.2699890136719
2020-11-20,117.33999633789062,43.040000915527344,1742.18994140625,192.6699981689453,489.6099853515625
2020-11-23,113.8499984741211,44.77000045776367,1734.8599853515625,200.82000732421875,521.8499755859375
2020-11-24,115.16999816894531,46.459999084472656,1768.8800048828125,206.0,555.3800048828125
2020-11-25,116.02999877929688,45.459999084472656,1771.4300537109375,214.4600067138672,574.0
